name,total,lat,lng
설화명곡,21839,35.798718,128.489318
화원,21061,35.804357,128.500404
대곡,36218,35.809487,128.512571
진천,44652,35.813816,128.522578
월배,25924,35.816266,128.530572
상인,103618,35.818956,128.537865
월촌,26709,35.823899,128.5458331
송현,23270,35.831069,128.551743
서부정류장,67654,35.8376158,128.5576142
대명,54629,35.839291,128.565469
안지랑,37479,35.839233,128.573886
현충로,28212,35.840899,128.581375
영대병원,46308,35.844269,128.588251
교대,24864,35.85173,128.590381
명덕1,36864,35.8570142,128.5900506
반월당1,134338,35.864667,128.593328
중앙로,318444,35.870902,128.593981
대구역,109351,35.8570894,128.5558608
칠성시장,23059,35.876078,128.6052165
신천,31065,35.874616,128.617581
동대구역,255790,35.879667,128.628476
동구청,22705,35.884361,128.632172
아양교,34529,35.887151,128.639743
동촌,13202,35.8867797,128.6487769
해안,14063,35.883514,128.659854
방촌,16999,35.879691,128.670171
용계,12003,35.876218,128.681737
율하,34099,35.869577,128.693037
신기,20536,35.8664809,128.7019744
반야월,17265,35.865969,128.713561
각산,27520,35.868017,128.724388
안심,32390,35.871205,128.733735
문양,8832,35.8641,128.437867
다사,10204,35.864945,128.458284
대실,44233,35.9021687,128.849098
강창,30800,35.853091,128.4780687
계명대,76556,35.851474,128.491956
성서산업단지,49476,35.851816,128.506462
이곡,21790,35.850598,128.515934
용산,54358,35.849047,128.528207
죽전,40096,35.8557141,128.5398122
감삼,46700,35.854327,128.548085
두류,82600,35.8570894,128.5558608
내당,28962,35.86014,128.564649
반고개,24585,35.862391,128.573355
청라언덕2,28981,35.8654412,128.5831952
반월당2,457211,35.864667,128.593328
경대병원,58882,35.863085,128.603381
대구은행,43424,35.859783,128.613905
범어,66273,35.8588249,128.630883
수성구청,53402,35.858989,128.63056
만촌,32633,35.858915,128.644821
담티,19742,35.8547654,128.6535776
연호,3575,35.840376,128.670507
대공원,25191,35.842737,128.679979
고산,10972,35.8491928,128.5888234
신매,43954,35.840875,128.704889
사월,20353,35.836976,128.715623
정평,22219,35.83408,128.728663
임당,15377,35.834106,128.740886
영남대,95579,35.836348,128.752962
칠곡경대병원,5929,35.958394,128.559914
학정,1430,35.9515914,128.5591507
팔거,43188,35.9441209,128.5582943
동천,11323,35.8867797,128.6487769
칠곡운암,19185,35.931487,128.554571
구암,16897,35.925761,128.550408
태전,11569,35.918195,128.548116
매천,10760,nan,nan
매천시장,4482,35.904463,128.545761
팔달,5046,35.897664,128.547996
공단,7774,35.8921571,128.5534645
만평,19436,35.889815,128.5609794
팔달시장,11920,35.8887983,128.5680143
원대,10243,35.887867,128.574271
북구청,28243,35.884672,128.583249
달성공원,9328,35.874646,128.581991
서문시장,37414,35.86975,128.582242
청라언덕3,11840,35.8642576,128.5823659
남산,24485,35.8567,128.583358
명덕3,31384,35.8570142,128.5900506
건들바위,9289,35.855417,128.599626
대봉교,37137,35.8549844,128.6062799
수성시장,19450,35.8543268,128.6159746
수성구민운동장,13008,35.852691,128.624864
어린이회관,8645,35.845212,128.624469
황금,21458,35.8417468,128.6321919
수성못,24199,35.831362,128.623198
지산,11470,35.825171,128.631909
범물,23750,35.8208258,128.6400593
용지,9194,35.818274,128.646517
설화명곡,22244,35.798718,128.489318
화원,21707,35.804357,128.500404
대곡,37470,35.809487,128.512571
진천,44659,35.813816,128.522578
월배,27314,35.816266,128.530572
상인,105325,35.818956,128.537865
월촌,28028,35.823899,128.5458331
송현,22863,35.831069,128.551743
서부정류장,67190,35.8376158,128.5576142
대명,57728,35.839291,128.565469
안지랑,37716,35.839233,128.573886
현충로,28951,35.840899,128.581375
영대병원,47355,35.844269,128.588251
교대,25244,35.85173,128.590381
명덕1,37214,35.8570142,128.5900506
반월당1,136057,35.864667,128.593328
중앙로,321830,35.870902,128.593981
대구역,111864,35.8570894,128.5558608
칠성시장,22964,35.876078,128.6052165
신천,31774,35.874616,128.617581
동대구역,257993,35.879667,128.628476
동구청,23776,35.884361,128.632172
아양교,34934,35.887151,128.639743
동촌,13483,35.8867797,128.6487769
해안,14333,35.883514,128.659854
방촌,17365,35.879691,128.670171
용계,12341,35.876218,128.681737
율하,35323,35.869577,128.693037
신기,20681,35.8664809,128.7019744
반야월,18454,35.865969,128.713561
각산,28001,35.868017,128.724388
안심,34460,35.871205,128.733735
문양,9439,35.8641,128.437867
다사,10547,35.864945,128.458284
대실,44939,35.9021687,128.849098
강창,31268,35.853091,128.4780687
계명대,76696,35.851474,128.491956
성서산업단지,50348,35.851816,128.506462
이곡,21870,35.850598,128.515934
용산,56709,35.849047,128.528207
죽전,41593,35.8557141,128.5398122
감삼,46631,35.854327,128.548085
두류,75285,35.8570894,128.5558608
내당,30381,35.86014,128.564649
반고개,25030,35.862391,128.573355
청라언덕2,29479,35.8654412,128.5831952
반월당2,461402,35.864667,128.593328
경대병원,60649,35.863085,128.603381
대구은행,42996,35.859783,128.613905
범어,66908,35.8588249,128.630883
수성구청,55278,35.858989,128.63056
만촌,33137,35.858915,128.644821
담티,20478,35.8547654,128.6535776
연호,3520,35.840376,128.670507
대공원,9204,35.842737,128.679979
고산,10615,35.8491928,128.5888234
신매,43912,35.840875,128.704889
사월,20562,35.836976,128.715623
정평,22671,35.83408,128.728663
임당,16616,35.834106,128.740886
영남대,96493,35.836348,128.752962
칠곡경대병원,6327,35.958394,128.559914
학정,1433,35.9515914,128.5591507
팔거,44000,35.9441209,128.5582943
동천,11257,35.8867797,128.6487769
칠곡운암,19329,35.931487,128.554571
구암,17598,35.925761,128.550408
태전,12267,35.918195,128.548116
매천,11474,nan,nan
매천시장,4649,35.904463,128.545761
팔달,5006,35.897664,128.547996
공단,8032,35.8921571,128.5534645
만평,19860,35.889815,128.5609794
팔달시장,12049,35.8887983,128.5680143
원대,10733,35.887867,128.574271
북구청,27546,35.884672,128.583249
달성공원,9641,35.874646,128.581991
서문시장,37556,35.86975,128.582242
청라언덕3,12306,35.8642576,128.5823659
남산,24924,35.8567,128.583358
명덕3,31495,35.8570142,128.5900506
건들바위,9314,35.855417,128.599626
대봉교,38537,35.8549844,128.6062799
수성시장,19502,35.8543268,128.6159746
수성구민운동장,13318,35.852691,128.624864
어린이회관,8840,35.845212,128.624469
황금,21511,35.8417468,128.6321919
수성못,24609,35.831362,128.623198
지산,11999,35.825171,128.631909
범물,23715,35.8208258,128.6400593
용지,9520,35.818274,128.646517
