행정구역,2020년01월_거주자 인구수,2020년01월_세대수,2020년01월_세대당 인구,2020년01월_남자 인구수,2020년01월_여자 인구수,2020년01월_남여 비율,2020년02월_거주자 인구수,2020년02월_세대수,2020년02월_세대당 인구,2020년02월_남자 인구수,2020년02월_여자 인구수,2020년02월_남여 비율,2020년03월_거주자 인구수,2020년03월_세대수,2020년03월_세대당 인구,2020년03월_남자 인구수,2020년03월_여자 인구수,2020년03월_남여 비율,2020년04월_거주자 인구수,2020년04월_세대수,2020년04월_세대당 인구,2020년04월_남자 인구수,2020년04월_여자 인구수,2020년04월_남여 비율,lat,lon
대구광역시 남구 이천동(2720051500),"12,694","5,576",2.28,"6,051","6,643",0.91,"12,551","5,522",2.27,"5,980","6,571",0.91,"12,509","5,521",2.27,"5,949","6,560",0.91,"12,461","5,533",2.25,"5,913","6,548",0.9,35.851507,128.602134
대구광역시 남구 봉덕1동(2720053000),"9,110","4,941",1.84,"4,421","4,689",0.94,"9,110","4,967",1.83,"4,419","4,691",0.94,"9,151","4,989",1.83,"4,422","4,729",0.94,"9,126","5,020",1.82,"4,400","4,726",0.93,35.84557,128.597904
대구광역시 남구 봉덕2동(2720054000),"10,799","4,604",2.35,"5,184","5,615",0.92,"10,777","4,594",2.35,"5,166","5,611",0.92,"10,786","4,628",2.33,"5,167","5,619",0.92,"10,766","4,639",2.32,"5,148","5,618",0.92,35.84386,128.601046
대구광역시 남구 봉덕3동(2720055000),"16,816","8,007",2.1,"7,992","8,824",0.91,"16,854","8,035",2.1,"8,010","8,844",0.91,"16,899","8,071",2.09,"8,012","8,887",0.9,"16,901","8,099",2.09,"8,025","8,876",0.9,35.842507,128.595822
대구광역시 남구 대명1동(2720056000),"11,592","5,551",2.09,"5,668","5,924",0.96,"11,606","5,574",2.08,"5,662","5,944",0.95,"11,608","5,601",2.07,"5,665","5,943",0.95,"11,597","5,621",2.06,"5,649","5,948",0.95,35.840328,128.576921
대구광역시 남구 대명2동(2720057100),"11,270","6,194",1.82,"5,402","5,868",0.92,"11,260","6,212",1.81,"5,384","5,876",0.92,"11,293","6,294",1.79,"5,392","5,901",0.91,"11,318","6,352",1.78,"5,404","5,914",0.91,35.855116,128.586639
대구광역시 남구 대명3동(2720058600),"11,053","5,896",1.87,"5,516","5,537",1,"11,023","5,893",1.87,"5,489","5,534",0.99,"11,031","5,923",1.86,"5,492","5,539",0.99,"11,047","5,967",1.85,"5,517","5,530",1,35.852368,128.579046
대구광역시 남구 대명4동(2720059000),"11,243","5,698",1.97,"5,467","5,776",0.95,"11,214","5,704",1.97,"5,464","5,750",0.95,"11,207","5,722",1.96,"5,467","5,740",0.95,"11,189","5,746",1.95,"5,444","5,745",0.95,35.845987,128.569523
대구광역시 남구 대명5동(2720060000),"8,062","4,337",1.86,"3,833","4,229",0.91,"8,071","4,387",1.84,"3,830","4,241",0.9,"8,136","4,432",1.84,"3,856","4,280",0.9,"8,139","4,470",1.82,"3,867","4,272",0.91,35.84324,128.587846
대구광역시 남구 대명6동(2720061000),"9,599","4,875",1.97,"4,580","5,019",0.91,"9,625","4,903",1.96,"4,592","5,033",0.91,"9,618","4,914",1.96,"4,589","5,029",0.91,"9,625","4,956",1.94,"4,608","5,017",0.92,35.835152,128.566081
대구광역시 남구 대명9동(2720064000),"15,739","7,912",1.99,"7,672","8,067",0.95,"15,763","7,955",1.98,"7,678","8,085",0.95,"15,797","8,015",1.97,"7,706","8,091",0.95,"15,806","8,071",1.96,"7,708","8,098",0.95,35.837289,128.579158
대구광역시 남구 대명10동(2720065000),"9,301","4,773",1.95,"4,405","4,896",0.9,"9,319","4,796",1.94,"4,410","4,909",0.9,"9,316","4,834",1.93,"4,402","4,914",0.9,"9,306","4,856",1.92,"4,396","4,910",0.9,35.840042,128.568883
대구광역시 남구 대명11동(2720066000),"8,475","4,380",1.93,"4,047","4,428",0.91,"8,455","4,373",1.93,"4,028","4,427",0.91,"8,452","4,398",1.92,"4,034","4,418",0.91,"8,416","4,411",1.91,"4,007","4,409",0.91,35.836161,128.560421
